x,y,type,name
22.7734193,41.9721268,atm,Blagoj Zlatkovski
21.5543192,41.3445751,atm,Silk Road
20.8058637,41.1106354,atm,Комерцијална Банка
21.3959333,41.9944772,atm,НЛБ - Тутунска Банка
21.3959313,41.9944722,atm,Стопанска Банка АД - Скопје
21.3924412,41.9983327,atm,НЛБ - Тутунска Банка
21.3916984,42.0005737,atm,Комерцијална Банка АД Скопје
21.3900584,42.0010181,atm,Стопанска Банка АД - Скопје
21.3900585,42.0010817,atm,Комерцијална Банка АД Скопје
21.3900911,42.001081,atm,НЛБ - Тутунска Банка
21.3925292,42.0045813,atm,Шпаркасе Банка Македонија АД Скопје
21.3946845,42.0036936,atm,Стопанска Банка АД - Скопје
21.4171593,42.0058046,atm,Уни Банка
21.3847909,42.0043009,atm,Уни Банка
21.3842855,42.0079825,atm,Уни Банка
21.4452888,42.0136404,atm,Шпаркасе Банка Македонија АД Скопје
21.443976,41.9757707,atm,Шпаркасе Банка Македонија АД Скопје
22.5524673,41.1271737,atm,Eurobank
22.7751876,41.9664243,atm,Uni Bank
22.182074,42.0782848,atm,Central Cooperative Bank
21.4266335,41.9921343,atm,Шпаркасе
21.4295739,41.9920274,atm,Шпаркасе
21.4292834,41.9951423,atm,Шпаркасе Банка Македонија АД Скопје
21.4263503,41.9976152,atm,Стопанска Банка АД - Скопје
21.4037627,42.0092122,atm,Шпаркасе Банка Македонија АД Скопје
21.4039823,42.0137911,atm,Стопанска Банка АД - Битола
21.4061361,42.0139259,atm,Комерцијална Банка АД Скопје
21.4062413,42.0139201,atm,УНИБанка
21.6096546,42.0968846,atm,ijj
21.4998343,41.9967167,atm,Комерцијална Банка
21.4000421,42.0030413,atm,Стопанска Банка АД - Скопје
21.399685,42.015202,atm,NLB Tutunska Banka
21.7816717,41.7171518,atm,Стопанска Банка Битола
21.7826137,41.7166424,atm,ТТК Банка
21.7822618,41.7176451,atm,Уни Банка
21.7839998,41.7158272,atm,НЛБ Тутунска Банка
21.7842337,41.7158288,atm,Шпаркасе
21.7833974,41.7172977,atm,ПроКредит Банка
21.4554246,41.9880998,atm,Шпаркасе Банка Македонија АД Скопје
21.4341736,41.994706,atm,Шпаркасе Банка Македонија АД Скопје
21.4333409,41.9957551,atm,Стопанска Банка АД - Скопје
21.4344946,41.9974347,atm,Halkbank
22.195328,41.7387156,atm,Tutunska Banka AD Skopje
21.2195451,41.5075949,atm,Komercijalna banka
21.2484312,41.3679678,atm,Stopanska Banka
21.2485794,41.3680536,atm,NLB
21.249289,41.3685612,atm,Komercjapna banka
21.4658037,41.9849643,atm,Шпаркасе Банка Македонија АД Скопје
21.4405696,41.9809158,atm,Stopanska Banka
21.4400507,41.981848,atm,Sparkasse
21.4171609,41.9938379,atm,Охридска Банка
21.417619,41.9937422,atm,Шпаркасе Банка Македонија АД Скопје
21.4443579,42.0297565,atm,Шпаркасе
21.4350212,42.0202071,atm,Шпаркасе Банка Македонија АД Скопје
20.8022752,41.112087,atm,Стопанска Банка
20.8020614,41.112902,atm,Централна Кооперативна Банка
20.9125409,41.7964728,atm,Tutunska Banka
21.0129515,41.0896441,atm,Komercijalna Banka
21.0137127,41.0901855,atm,Stopanska banka Bitola
21.4009272,41.9938697,atm,Шпаркасе
21.4050462,41.9967042,atm,Стопанска Банка АД - Скопје
22.0106767,41.4371148,atm,Stopanska Banka
22.0109749,41.4372911,atm,Komercijalna Banka
22.0169607,41.4345552,atm,ProCredit Bank
